"FIPSCode","YEAR","TEMPERATURE_MA","TEMPERATURE_INDEX"
8103,2017,65,"Hotter"
8105,2017,59.4,"Hotter"
8105,2017,28.2,"Hotter"
8111,2017,52.1,"Hotter"
8113,2017,64.2,"Hotter"
8097,2017,56.1,"Hotter"
8051,2017,57.2,"Hotter"
8067,2017,32.9,"Hotter"
8079,2017,26.8,"Hotter"
8067,2017,63.8,"Hotter"
8109,2017,58.7,"Hotter"
8053,2017,54.4,"Hotter"
8079,2017,54.7,"Hotter"
8111,2017,26.8,"Hotter"
8045,2017,63.6,"Hotter"
8053,2017,26.6,"Hotter"
8083,2017,68.5,"Hotter"
8091,2017,60.8,"Hotter"
8113,2017,32.1,"Hotter"
6001,2016,69.4,"Hotter"
15007,2017,79.4333,"Hotter"
6019,2016,71.2,"Hotter"
6085,2016,69,"Hotter"
8013,2016,64.1,"Hotter"
8027,2016,60.1,"Hotter"
8079,2016,55,"Hotter"
8111,2016,52.8,"Hotter"
8113,2016,65,"Hotter"
6023,2016,63.6,"Hotter"
6031,2016,80,"Hotter"
6071,2016,86.5,"Hotter"
8043,2016,65.3,"Hotter"
8053,2016,54.8,"Hotter"
8097,2016,57,"Hotter"
8101,2016,73.5,"Hotter"
6037,2016,75,"Hotter"
6073,2016,75,"Hotter"
6083,2016,67.6,"Hotter"
6111,2016,68.2,"Hotter"
8015,2016,57.8,"Hotter"
8021,2016,59.9,"Hotter"
8023,2016,61,"Hotter"
8045,2016,64.3,"Hotter"
8069,2016,62,"Hotter"
8091,2016,61.1,"Hotter"
8103,2016,66,"Hotter"
8107,2016,60,"Hotter"
6051,2016,60.9,"Hotter"
6059,2016,71.4,"Hotter"
6069,2016,72,"Hotter"
6081,2016,62.9,"Hotter"
6087,2016,64.8,"Hotter"
8003,2016,63.7,"Hotter"
8033,2016,62.8,"Hotter"
8093,2016,57.8,"Hotter"
8105,2016,59.6,"Hotter"
6015,2016,61.8,"Hotter"
6065,2016,85.1,"Hotter"
8037,2016,59,"Hotter"
8055,2016,65.9,"Hotter"
8059,2016,65.5,"Hotter"
8065,2016,53.9,"Hotter"
8067,2016,65.1,"Hotter"
8085,2016,69.2,"Hotter"
13049,2016,82,"Hotter"
6029,2016,78.9,"Hotter"
6107,2016,69.9,"Hotter"
8014,2016,71.8,"Hotter"
8029,2016,68.3,"Hotter"
